time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:57:03:828,-0.0521,0.0868,-0.2524,0.272
20:57:03:835,0.0573,0.1360,-0.1381,0.202
20:57:03:838,0.0518,0.1351,-0.1129,0.184
20:57:03:843,-0.0156,0.1437,-0.1669,0.221
20:57:03:849,-0.0781,0.1045,-0.1761,0.219
20:57:03:857,-0.1429,0.0677,-0.1168,0.197
20:57:03:858,-0.1457,0.0735,-0.0247,0.165
20:57:03:864,-0.0842,0.1006,0.0388,0.137
20:57:03:869,0.1174,0.2011,0.1176,0.261
20:57:03:871,0.1708,0.1682,0.0732,0.251
20:57:03:888,0.1098,0.1070,-0.0562,0.163
20:57:03:889,0.0419,0.0841,-0.1280,0.159
20:57:03:890,0.0741,0.0731,-0.1091,0.151
20:57:03:892,0.1679,0.1571,-0.0306,0.232
20:57:03:896,0.1400,0.1053,-0.0548,0.184
20:57:03:901,0.0669,0.0775,-0.1220,0.159
20:57:03:908,0.0155,0.0712,-0.1346,0.153
20:57:03:911,0.1403,0.1315,-0.0400,0.196
20:57:03:916,0.1694,0.1867,-0.0172,0.253
20:57:03:921,0.1651,0.1895,-0.0923,0.268
20:57:03:926,0.0609,0.1733,-0.1058,0.212
20:57:03:931,-0.0070,0.1311,-0.0647,0.146
20:57:03:936,0.0991,0.1604,0.0336,0.192
20:57:03:943,0.0883,0.1160,0.0437,0.152
20:57:03:947,0.0182,0.0862,-0.0462,0.099
20:57:03:950,-0.0803,0.0089,-0.0742,0.110
20:57:03:959,-0.1285,-0.0136,-0.0547,0.140
20:57:03:960,-0.0457,-0.0170,0.0550,0.074
20:57:03:969,-0.0325,-0.0277,0.0763,0.087
20:57:03:971,-0.0385,-0.0478,0.0142,0.063
20:57:03:983,-0.0993,-0.0822,0.0091,0.129
20:57:03:984,-0.0911,-0.0975,0.0153,0.134
20:57:03:985,-0.0452,-0.0891,0.0496,0.112
20:57:03:990,-0.0187,-0.0735,0.0814,0.111
20:57:03:994,-0.0089,-0.0984,0.1083,0.147
20:57:04:000,-0.0015,-0.1113,0.1139,0.159
20:57:04:005,-0.0226,-0.1052,0.0912,0.141
20:57:04:009,-0.0222,-0.0970,0.0617,0.117
20:57:04:015,-0.0314,-0.1031,0.0468,0.118
20:57:04:018,-0.0382,-0.0903,0.0273,0.102
20:57:04:025,-0.0095,-0.0919,0.0031,0.092
20:57:04:029,0.0024,-0.0911,-0.0044,0.091
20:57:04:035,0.0022,-0.0809,-0.0143,0.082
20:57:04:039,0.0472,-0.0802,-0.0337,0.099
20:57:04:045,0.0253,-0.0652,-0.0103,0.071
20:57:04:049,0.0204,-0.0361,0.0226,0.047
20:57:04:054,-0.0035,-0.0261,0.0268,0.038
20:57:04:058,-0.0176,0.0028,0.0192,0.026
20:57:04:065,-0.0198,0.0408,0.0022,0.045
20:57:04:079,0.0161,0.0430,-0.0311,0.055
20:57:04:080,0.0421,0.0688,-0.0263,0.085
20:57:04:080,0.0418,0.0730,-0.0191,0.086
20:57:04:096,0.0676,0.0748,-0.0048,0.101
20:57:04:097,0.0694,0.0790,0.0189,0.107
20:57:04:097,0.0665,0.0618,0.0352,0.097
20:57:04:098,0.0636,0.0304,0.0277,0.076
20:57:04:102,0.1034,-0.0126,0.0131,0.105
20:57:04:108,0.1073,-0.0219,0.0057,0.110
20:57:04:112,0.1254,-0.0336,0.0031,0.130
20:57:04:117,0.0864,-0.0498,-0.0067,0.100
20:57:04:122,0.0881,-0.0731,-0.0044,0.115
20:57:04:127,0.0732,-0.0606,0.0005,0.095
20:57:04:132,0.0681,-0.0695,-0.0017,0.097
20:57:04:135,0.0512,-0.0853,-0.0298,0.104
20:57:04:140,0.0940,-0.0226,-0.0576,0.113
20:57:04:147,0.1057,0.0043,-0.0639,0.124
20:57:04:152,0.0106,-0.0069,-0.0203,0.024
20:57:04:156,-0.0102,-0.0062,-0.0150,0.019
20:57:04:161,-0.0522,-0.0031,0.0021,0.052
20:57:04:166,-0.1033,-0.0193,0.0500,0.116
20:57:04:172,-0.1684,-0.0188,0.0955,0.194
20:57:04:178,-0.1736,-0.0329,0.1242,0.216
20:57:04:179,-0.1267,-0.0351,0.1149,0.175
20:57:04:190,-0.0327,-0.0373,0.1007,0.112
20:57:04:191,-0.0084,-0.0299,0.0960,0.101
20:57:04:196,-0.0008,-0.0533,0.1173,0.129
20:57:04:200,-0.0028,-0.0552,0.1479,0.158
20:57:04:205,-0.0143,-0.0594,0.1545,0.166
20:57:04:210,-0.0351,-0.0731,0.1706,0.189
20:57:04:215,-0.0534,-0.0533,0.1629,0.179
20:57:04:219,-0.0571,-0.0764,0.1410,0.170
20:57:04:227,-0.1012,-0.1017,0.1311,0.194
20:57:04:229,-0.1071,-0.1053,0.1139,0.188
20:57:04:236,-0.1366,-0.0970,0.1252,0.209
20:57:04:238,-0.1185,-0.1339,0.1245,0.218
20:57:04:245,-0.0911,-0.1397,0.1023,0.196
20:57:04:251,-0.0924,-0.1762,0.1158,0.230
20:57:04:255,-0.0676,-0.1721,0.1009,0.211
20:57:04:259,-0.0357,-0.1964,0.0980,0.222
20:57:04:266,-0.0303,-0.1779,0.0929,0.203
20:57:04:272,-0.0177,-0.1690,0.0974,0.196
20:57:04:274,-0.0360,-0.1436,0.0878,0.172
20:57:04:288,-0.0304,-0.1160,0.0997,0.156
20:57:04:289,-0.0438,-0.0768,0.0854,0.123
20:57:04:289,-0.0240,-0.0664,0.0736,0.102
20:57:04:293,-0.0351,-0.0205,0.0807,0.090
20:57:04:297,-0.0509,-0.0057,0.0616,0.080
20:57:04:302,-0.0618,-0.0123,0.0615,0.088
20:57:04:308,-0.0727,-0.0213,0.0707,0.104
20:57:04:313,-0.0433,-0.0208,0.0535,0.072
20:57:04:318,-0.0261,-0.0226,0.0505,0.061
20:57:04:322,-0.0042,-0.0101,0.0451,0.046
