time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:43:51:916,-0.0273,-0.1656,0.1044,0.198
20:43:51:922,-0.0155,-0.1527,0.1123,0.190
20:43:51:926,0.0033,-0.1305,0.1179,0.176
20:43:51:931,0.0005,-0.1085,0.0997,0.147
20:43:51:936,0.0168,-0.0985,0.0889,0.134
20:43:51:942,-0.0074,-0.0483,0.0711,0.086
20:43:51:946,0.0161,-0.0292,0.0391,0.051
20:43:51:951,0.0181,-0.0246,0.0384,0.049
20:43:51:954,0.0296,-0.0175,0.0068,0.035
20:43:51:962,0.0150,-0.0270,-0.0268,0.041
20:43:51:978,-0.0043,-0.0009,-0.0506,0.051
20:43:51:978,-0.0115,0.0251,-0.0767,0.081
20:43:51:979,-0.0282,0.0224,-0.1074,0.113
20:43:51:981,-0.0424,0.0315,-0.1047,0.117
20:43:51:985,-0.0589,0.0642,-0.0999,0.133
20:43:51:990,-0.0634,0.0943,-0.1047,0.155
20:43:51:995,-0.0276,0.0862,-0.0858,0.125
20:43:52:002,0.0079,0.0734,-0.0458,0.087
20:43:52:005,0.0146,0.0677,-0.0155,0.071
20:43:52:009,0.0284,0.0550,0.0003,0.062
20:43:52:014,0.0420,0.0305,0.0017,0.052
20:43:52:019,0.0461,-0.0009,0.0223,0.051
20:43:52:024,0.0500,-0.0203,0.0427,0.069
20:43:52:029,0.0421,-0.0253,0.0607,0.078
20:43:52:033,0.0437,-0.0042,0.0477,0.065
20:43:52:038,0.0691,-0.0070,0.0349,0.078
20:43:52:045,0.0754,0.0354,0.0222,0.086
20:43:52:047,0.0460,0.0491,0.0049,0.067
20:43:52:054,0.0074,0.0437,0.0020,0.044
20:43:52:059,-0.0142,0.0620,-0.0009,0.064
20:43:52:070,-0.0167,0.0660,-0.0134,0.069
20:43:52:071,0.0164,0.0960,-0.0187,0.099
20:43:52:082,0.0230,0.0974,0.0020,0.100
20:43:52:083,0.0225,0.1011,0.0152,0.105
20:43:52:083,0.0435,0.0812,0.0448,0.102
20:43:52:088,0.0310,0.0805,0.0859,0.122
20:43:52:092,0.0163,0.0774,0.1171,0.141
20:43:52:098,0.0064,0.0507,0.1031,0.115
20:43:52:102,-0.0058,0.0264,0.0987,0.102
20:43:52:107,-0.0203,0.0259,0.1040,0.109
20:43:52:112,-0.0133,0.0231,0.0762,0.081
20:43:52:116,-0.0112,0.0534,0.0652,0.085
20:43:52:122,0.0003,0.0668,0.0615,0.091
20:43:52:127,0.0023,0.0634,0.0649,0.091
20:43:52:132,0.0422,0.0743,0.0754,0.114
20:43:52:137,0.0462,0.0732,0.0597,0.105
20:43:52:142,0.0572,0.0675,0.0726,0.114
20:43:52:147,0.0587,0.0452,0.0948,0.120
20:43:52:151,0.0341,0.0468,0.0717,0.092
20:43:52:155,0.0334,0.0223,0.0534,0.067
20:43:52:162,0.0232,0.0266,0.0613,0.071
20:43:52:174,0.0060,0.0189,0.0692,0.072
20:43:52:175,0.0150,0.0208,0.0486,0.055
20:43:52:176,0.0168,-0.0153,0.0281,0.036
20:43:52:182,0.0352,-0.0274,-0.0161,0.047
20:43:52:185,0.0605,-0.0228,-0.0338,0.073
20:43:52:190,0.0524,-0.0396,-0.0657,0.093
20:43:52:194,0.0870,-0.0586,-0.0856,0.135
20:43:52:200,0.1000,-0.0466,-0.0958,0.146
20:43:52:208,0.1033,-0.0609,-0.1084,0.162
20:43:52:209,0.0900,-0.0466,-0.1089,0.149
20:43:52:215,0.0911,-0.0371,-0.1095,0.147
20:43:52:221,0.1135,-0.0348,-0.1077,0.160
20:43:52:225,0.1263,-0.0159,-0.0941,0.158
20:43:52:230,0.1152,-0.0043,-0.0710,0.135
20:43:52:235,0.1279,-0.0237,-0.0814,0.153
20:43:52:240,0.1262,-0.0430,-0.0892,0.160
20:43:52:245,0.1292,-0.0480,-0.0970,0.169
20:43:52:249,0.1560,-0.0458,-0.1092,0.196
20:43:52:254,0.1659,-0.0627,-0.1236,0.216
20:43:52:264,0.1687,-0.0462,-0.1473,0.229
20:43:52:264,0.1762,-0.0275,-0.1752,0.250
20:43:52:274,0.1718,-0.0019,-0.1955,0.260
20:43:52:275,0.1913,0.0331,-0.2155,0.290
20:43:52:278,0.1894,0.0750,-0.2115,0.294
20:43:52:283,0.1947,0.1285,-0.2145,0.317
20:43:52:289,0.1977,0.1937,-0.1819,0.331
20:43:52:292,0.1747,0.2703,-0.1662,0.362
20:43:52:298,0.1663,0.3205,-0.1318,0.384
20:43:52:303,0.1654,0.3707,-0.0954,0.417
20:43:52:308,0.1101,0.4232,-0.0594,0.441
20:43:52:313,0.0768,0.4116,-0.0048,0.419
20:43:52:317,0.0132,0.3742,0.0303,0.376
20:43:52:323,-0.0236,0.3398,0.0627,0.346
20:43:52:327,-0.0649,0.2820,0.0780,0.300
20:43:52:333,-0.0986,0.2010,0.0765,0.237
20:43:52:337,-0.0871,0.1231,0.0581,0.162
20:43:52:342,-0.0901,0.0599,0.0491,0.119
20:43:52:347,-0.0908,-0.0266,0.0447,0.105
20:43:52:352,-0.0489,-0.1030,0.0662,0.132
20:43:52:355,-0.0146,-0.1648,0.0591,0.176
20:43:52:364,0.0359,-0.1882,0.0712,0.204
20:43:52:377,0.0693,-0.1879,0.0596,0.209
20:43:52:378,0.1403,-0.2162,0.0697,0.267
20:43:52:379,0.1752,-0.1920,0.0609,0.267
20:43:52:382,0.2241,-0.1728,0.0522,0.288
20:43:52:386,0.2489,-0.1467,0.0509,0.293
20:43:52:391,0.2616,-0.1230,0.0663,0.297
20:43:52:395,0.2696,-0.1232,0.0555,0.302
20:43:52:402,0.2397,-0.0996,0.0735,0.270
20:43:52:406,0.2574,-0.0809,0.0794,0.281
20:43:52:410,0.2609,-0.1122,0.0807,0.295
20:43:52:416,0.2405,-0.0910,0.1058,0.278
20:43:52:422,0.2442,-0.0842,0.1118,0.281
20:43:52:426,0.2075,-0.0988,0.1344,0.266
20:43:52:430,0.1877,-0.0705,0.1379,0.243
20:43:52:433,0.1349,-0.0567,0.1366,0.200
20:43:52:440,0.0731,-0.0240,0.1590,0.177
20:43:52:445,0.0284,0.0156,0.1742,0.177
20:43:52:450,-0.0206,0.0550,0.1844,0.193
20:43:52:454,-0.0716,0.0728,0.1778,0.205
20:43:52:459,-0.1077,0.0740,0.1663,0.212
20:43:52:464,-0.1507,0.0943,0.1809,0.254
20:43:52:473,-0.1719,0.0838,0.1783,0.261
20:43:52:475,-0.2214,0.0830,0.1494,0.280
20:43:52:485,-0.2397,0.0443,0.1512,0.287
20:43:52:486,-0.2816,0.0320,0.1788,0.335
20:43:52:490,-0.3041,-0.0039,0.1943,0.361
20:43:52:495,-0.2839,-0.0253,0.2048,0.351
20:43:52:497,-0.3256,-0.0610,0.2130,0.394
20:43:52:504,-0.3457,-0.0870,0.2235,0.421
20:43:52:509,-0.3468,-0.1059,0.2389,0.434
20:43:52:513,-0.3503,-0.1130,0.2138,0.426
20:43:52:518,-0.3420,-0.1487,0.2177,0.432
20:43:52:523,-0.3197,-0.1748,0.2122,0.422
20:43:52:528,-0.2905,-0.1890,0.1878,0.394
20:43:52:534,-0.2332,-0.1889,0.1469,0.334
20:43:52:538,-0.1479,-0.1697,0.1369,0.263
20:43:52:542,-0.1297,-0.1625,0.1290,0.245
20:43:52:547,-0.0952,-0.1267,0.1470,0.216
20:43:52:553,-0.0703,-0.1148,0.1528,0.204
20:43:52:556,-0.0385,-0.0934,0.1559,0.186
20:43:52:565,-0.0425,-0.1030,0.1708,0.204
20:43:52:567,-0.0465,-0.0864,0.1760,0.201
20:43:52:576,-0.0244,-0.0557,0.1692,0.180
20:43:52:577,-0.0096,-0.0822,0.1530,0.174
20:43:52:582,-0.0330,-0.1109,0.1249,0.170
20:43:52:586,0.0031,-0.1038,0.1113,0.152
20:43:52:592,0.0295,-0.1038,0.0905,0.141
20:43:52:595,0.0414,-0.1228,0.0652,0.145
