time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
20:50:08:878,0.2247,0.0426,-0.1887,0.296
20:50:08:882,0.2413,0.0381,-0.2850,0.375
20:50:08:886,0.2530,-0.0091,-0.3378,0.422
20:50:08:892,0.2669,-0.0393,-0.3500,0.442
20:50:08:896,0.2379,-0.0858,-0.3480,0.430
20:50:08:901,0.2755,-0.1129,-0.3109,0.430
20:50:08:907,0.2795,-0.1611,-0.3054,0.444
20:50:08:911,0.2572,-0.1922,-0.2839,0.429
20:50:08:917,0.2399,-0.2017,-0.2558,0.405
20:50:08:921,0.2297,-0.1991,-0.2425,0.389
20:50:08:926,0.2216,-0.2155,-0.1962,0.366
20:50:08:931,0.1798,-0.1866,-0.1624,0.306
20:50:08:938,0.1665,-0.1461,-0.1289,0.256
20:50:08:940,0.1956,-0.0963,-0.0908,0.236
20:50:08:953,0.1624,-0.0635,-0.0599,0.184
20:50:08:954,0.1720,-0.0097,-0.0124,0.173
20:50:08:955,0.2291,0.1125,0.0516,0.260
20:50:08:960,0.2339,0.1981,0.1176,0.328
20:50:08:965,0.2034,0.1238,0.1811,0.299
20:50:08:970,0.1304,0.1617,0.2561,0.330
20:50:08:975,0.0795,0.1328,0.2524,0.296
20:50:08:978,0.0839,0.0875,0.2108,0.243
20:50:08:985,0.0672,0.0781,0.2170,0.240
20:50:08:989,0.0296,0.0688,0.2754,0.285
20:50:08:994,0.0139,0.0145,0.2977,0.298
20:50:08:999,0.0035,0.0270,0.3149,0.316
20:50:09:006,-0.0229,0.0181,0.3389,0.340
20:50:09:008,-0.0295,0.0187,0.3764,0.378
20:50:09:014,-0.0521,-0.0140,0.4156,0.419
20:50:09:021,-0.0789,-0.0084,0.4636,0.470
20:50:09:025,-0.1004,-0.0432,0.4682,0.481
20:50:09:037,-0.1597,-0.0823,0.4393,0.475
20:50:09:038,-0.1572,-0.1093,0.3868,0.432
20:50:09:038,-0.1719,-0.1573,0.3017,0.381
20:50:09:044,-0.1351,-0.1455,0.1792,0.267
20:50:09:048,-0.1423,-0.1123,0.0532,0.189
20:50:09:054,-0.1339,-0.0959,-0.0691,0.179
20:50:09:057,-0.1482,-0.0913,-0.2166,0.278
20:50:09:064,-0.1303,-0.0700,-0.3250,0.357
20:50:09:069,-0.0612,-0.0275,-0.3565,0.363
20:50:09:071,0.0258,0.0242,-0.3140,0.316
20:50:09:078,0.0880,0.0874,-0.2694,0.297
20:50:09:082,0.1212,0.1477,-0.2201,0.291
20:50:09:087,0.2350,0.1956,-0.1708,0.350
20:50:09:093,0.2820,0.1717,-0.1286,0.354
20:50:09:096,0.2839,0.1361,-0.0744,0.323
20:50:09:100,0.2909,0.0865,-0.0346,0.305
20:50:09:107,0.2484,0.0514,0.0077,0.254
20:50:09:112,0.2471,0.0047,0.0332,0.249
20:50:09:117,0.2033,-0.0726,0.0421,0.220
20:50:09:121,0.1625,-0.0994,0.0772,0.206
20:50:09:131,0.1295,-0.1213,0.1145,0.211
20:50:09:132,0.0992,-0.0908,0.1351,0.191
20:50:09:148,0.0502,-0.1199,0.1416,0.192
20:50:09:148,0.0420,-0.0967,0.1151,0.156
20:50:09:149,0.0076,-0.0998,0.0512,0.112
20:50:09:151,-0.0220,-0.0980,-0.0191,0.102
20:50:09:156,0.0411,-0.0584,-0.0838,0.110
20:50:09:162,0.0469,0.0473,-0.1193,0.137
20:50:09:165,0.0484,0.1473,-0.1519,0.217
20:50:09:171,0.0624,0.2274,-0.1343,0.271
20:50:09:175,0.0344,0.2925,-0.1027,0.312
20:50:09:179,0.0525,0.3593,-0.0593,0.368
20:50:09:185,0.0358,0.3400,-0.0209,0.343
20:50:09:190,-0.0249,0.2875,0.0245,0.290
20:50:09:196,-0.0323,0.2021,0.0437,0.209
20:50:09:200,-0.0842,0.1220,0.0725,0.165
20:50:09:205,-0.0666,0.0283,0.1062,0.129
20:50:09:210,-0.0892,-0.0197,0.1211,0.152
20:50:09:215,-0.0925,-0.0744,0.1386,0.183
20:50:09:219,-0.0957,-0.1192,0.1255,0.198
20:50:09:225,-0.0704,-0.1471,0.1153,0.200
20:50:09:238,-0.0691,-0.1392,0.0864,0.178
20:50:09:239,-0.0512,-0.1195,0.0532,0.141
20:50:09:240,-0.0718,-0.1356,0.0487,0.161
20:50:09:245,-0.0783,-0.1372,0.0373,0.162
20:50:09:249,-0.0566,-0.1412,0.0214,0.154
20:50:09:253,-0.0569,-0.1404,0.0225,0.153
20:50:09:257,-0.0268,-0.1894,-0.0142,0.192
20:50:09:264,-0.0119,-0.2284,-0.0407,0.232
20:50:09:269,0.0142,-0.2576,-0.0835,0.271
20:50:09:273,0.0370,-0.2533,-0.1044,0.276
20:50:09:278,0.0587,-0.2916,-0.1248,0.323
20:50:09:284,0.0414,-0.3177,-0.1258,0.344
20:50:09:288,0.0565,-0.3601,-0.1688,0.402
20:50:09:293,0.1059,-0.3927,-0.2321,0.468
20:50:09:297,0.1374,-0.3110,-0.3251,0.470
20:50:09:303,0.1653,-0.2181,-0.4381,0.517
20:50:09:308,0.1587,-0.0998,-0.5379,0.570
20:50:09:312,0.1508,-0.0203,-0.6294,0.648
20:50:09:317,0.0964,0.0563,-0.6820,0.691
20:50:09:322,0.1123,0.1349,-0.6723,0.695
20:50:09:329,0.1199,0.1489,-0.6320,0.660
20:50:09:334,0.1743,0.1487,-0.5401,0.587
20:50:09:336,0.2043,0.1463,-0.4375,0.505
20:50:09:352,0.1889,0.1202,-0.2863,0.363
20:50:09:354,0.1504,0.0967,-0.1133,0.212
20:50:09:355,0.1007,0.0806,0.0621,0.143
20:50:09:357,0.0401,-0.0017,0.2211,0.225
20:50:09:362,-0.0552,-0.0833,0.3684,0.382
20:50:09:366,-0.1253,-0.1571,0.5235,0.561
20:50:09:371,-0.1989,-0.2304,0.6864,0.751
20:50:09:376,-0.2451,-0.2509,0.8029,0.876
20:50:09:381,-0.2689,-0.2903,0.8688,0.955
20:50:09:386,-0.3038,-0.2845,0.8471,0.944
20:50:09:390,-0.2999,-0.2504,0.8521,0.937
20:50:09:395,-0.2812,-0.1242,0.7815,0.840
20:50:09:400,-0.2337,-0.0252,0.6334,0.676
20:50:09:405,-0.2217,0.0183,0.4558,0.507
20:50:09:410,-0.1904,0.0471,0.2461,0.315
20:50:09:415,-0.1971,0.0734,0.0567,0.218
20:50:09:419,-0.1654,0.0948,-0.0964,0.214
20:50:09:425,-0.1243,0.1066,-0.1658,0.233
20:50:09:439,-0.0784,0.1444,-0.2283,0.281
20:50:09:440,-0.0350,0.1630,-0.2625,0.311
20:50:09:441,-0.0202,0.1648,-0.2543,0.304
20:50:09:445,0.0040,0.1548,-0.2252,0.273
20:50:09:449,-0.0311,0.1639,-0.2251,0.280
20:50:09:454,-0.0231,0.1919,-0.1849,0.267
20:50:09:458,-0.0244,0.2030,-0.1784,0.271
20:50:09:465,-0.0421,0.2283,-0.1556,0.279
20:50:09:469,-0.0383,0.1988,-0.1354,0.244
20:50:09:474,-0.0462,0.2051,-0.1086,0.237
20:50:09:479,-0.0325,0.1877,-0.0939,0.212
20:50:09:485,-0.0615,0.1703,-0.0534,0.189
20:50:09:488,-0.0472,0.1935,-0.0087,0.199
20:50:09:493,-0.0086,0.2686,0.0616,0.276
20:50:09:497,0.0258,0.3121,0.1000,0.329
20:50:09:505,0.0159,0.3101,0.1615,0.350
20:50:09:508,-0.0048,0.3127,0.2457,0.398
20:50:09:513,-0.0102,0.2606,0.2934,0.393
20:50:09:518,0.0113,0.1923,0.2979,0.355
20:50:09:523,0.0071,0.0912,0.2904,0.304
20:50:09:528,-0.0250,0.0075,0.2258,0.227
20:50:09:533,-0.0377,-0.0684,0.1737,0.190
20:50:09:536,-0.0691,-0.1009,0.1101,0.165
20:50:09:542,-0.0550,-0.1498,0.0160,0.160
20:50:09:555,-0.0623,-0.1413,-0.0563,0.164
20:50:09:556,-0.0458,-0.0901,-0.1117,0.151
20:50:09:557,-0.0292,0.0129,-0.1270,0.131
20:50:09:562,0.0184,0.1388,-0.1332,0.193
20:50:09:567,0.0140,0.1878,-0.0876,0.208
20:50:09:572,0.0646,0.1841,-0.0166,0.196
20:50:09:575,0.0653,0.1756,0.0562,0.196
20:50:09:580,0.0616,0.1601,0.1097,0.204
20:50:09:586,0.0723,0.1232,0.1394,0.200
20:50:09:591,0.0853,0.0984,0.1291,0.183
20:50:09:596,0.0649,0.1141,0.0791,0.153
20:50:09:601,0.0563,0.0585,-0.0246,0.085
20:50:09:607,0.0616,0.0319,-0.1294,0.147
20:50:09:611,0.0782,-0.0111,-0.1977,0.213
20:50:09:616,0.0775,-0.0489,-0.2582,0.274
20:50:09:619,0.1215,-0.0603,-0.2732,0.305
20:50:09:625,0.1194,-0.1165,-0.2761,0.323
20:50:09:638,0.1620,-0.1509,-0.2694,0.349
20:50:09:639,0.1183,-0.1588,-0.2579,0.325
20:50:09:640,0.1122,-0.1665,-0.2535,0.323
20:50:09:645,0.1623,-0.1552,-0.2725,0.353
20:50:09:650,0.1615,-0.0987,-0.3054,0.359
