time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
21:06:07:529,0.1585,0.2558,-0.2800,0.411
21:06:07:532,0.1344,0.2853,-0.2877,0.427
21:06:07:538,0.1280,0.3192,-0.2534,0.427
21:06:07:549,0.0727,0.3290,-0.2654,0.429
21:06:07:550,-0.0148,0.3150,-0.2712,0.416
21:06:07:551,-0.0916,0.3225,-0.2447,0.415
21:06:07:556,-0.1506,0.3537,-0.2219,0.444
21:06:07:561,-0.2061,0.4013,-0.1458,0.474
21:06:07:566,-0.2606,0.4224,-0.0712,0.501
21:06:07:571,-0.3166,0.4457,-0.0526,0.549
21:06:07:578,-0.3621,0.4711,-0.0037,0.594
21:06:07:580,-0.3284,0.5343,0.0372,0.628
21:06:07:586,-0.2965,0.5399,0.0537,0.618
21:06:07:590,-0.1687,0.5667,0.0483,0.593
21:06:07:594,-0.0122,0.6096,0.0710,0.614
21:06:07:601,0.1305,0.7493,0.1687,0.779
21:06:07:605,0.2501,0.9162,0.3052,0.998
21:06:07:610,0.3727,1.0316,0.4048,1.169
21:06:07:615,0.4554,1.1267,0.4494,1.296
21:06:07:621,0.4727,1.1899,0.4780,1.367
21:06:07:626,0.5154,1.2331,0.4768,1.419
21:06:07:631,0.5000,1.2209,0.4582,1.397
21:06:07:645,0.4842,1.1444,0.4435,1.319
21:06:07:646,0.4489,1.0040,0.4467,1.187
21:06:07:646,0.4323,0.8716,0.4674,1.079
21:06:07:650,0.4130,0.7399,0.4839,0.976
21:06:07:656,0.3554,0.5664,0.5075,0.839
21:06:07:657,0.2810,0.3704,0.5118,0.691
21:06:07:664,0.2133,0.1736,0.4777,0.551
21:06:07:669,0.1425,-0.0286,0.4646,0.487
21:06:07:674,0.0659,-0.2433,0.4414,0.508
21:06:07:678,-0.0408,-0.4014,0.4247,0.586
21:06:07:684,-0.1446,-0.5699,0.3765,0.698
21:06:07:688,-0.2438,-0.6962,0.3423,0.813
21:06:07:694,-0.3245,-0.7571,0.2958,0.875
21:06:07:697,-0.3566,-0.7814,0.2540,0.896
21:06:07:703,-0.3266,-0.7673,0.1768,0.852
21:06:07:708,-0.3109,-0.7695,0.0648,0.832
21:06:07:713,-0.2909,-0.7714,-0.0079,0.824
21:06:07:719,-0.2498,-0.7374,-0.0391,0.780
21:06:07:723,-0.1854,-0.6418,-0.0454,0.670
21:06:07:730,-0.1192,-0.5374,-0.0602,0.554
21:06:07:733,-0.0102,-0.4338,-0.0263,0.435
21:06:07:736,0.1063,-0.3975,0.0704,0.417
21:06:07:741,0.1807,-0.3665,0.1346,0.430
21:06:07:748,0.2875,-0.3264,0.1618,0.464
21:06:07:763,0.3601,-0.3651,0.1690,0.540
21:06:07:764,0.3870,-0.4227,0.1419,0.590
21:06:07:764,0.4161,-0.4729,0.0878,0.636
21:06:07:767,0.3998,-0.5204,-0.0173,0.656
21:06:07:771,0.3576,-0.5888,-0.0951,0.695
21:06:07:776,0.3274,-0.6401,-0.1512,0.735
21:06:07:781,0.2952,-0.6908,-0.2003,0.777
21:06:07:786,0.2492,-0.7457,-0.2191,0.816
